NomFrançais|NomAnglais|Date|CAS|NoUN|Classification|PourcentageDeDivulgation|Annexe 4|Commentaire|
Cellulase|Cellulase|2016-08-01|9012-54-8||DS.4r.1|Réglementation|||
Cellulose (fibres de papier)|Cellulose (paper fibers)|2015-10-06|||DP.17.99|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.Dans certaines conditions, cette matière peut s'échauffer par réaction avec l'air et sans apport d'énergie.|
Cellulose microcristalline|Microcrystalline cellulose|2015-10-27|9004-34-6||DP.17.99|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Césium|Cesium|2016-08-04|7440-46-2|UN1407|DP.10.1, DP.12.1, DP.20pex.1, DS.2.1, DS.3.1, DS.8i.3|Réglementation||Il n’y a aucune donnée disponible pour le césium concernant son pouvoir d’irritation ou de corrosion. Cependant, il forme au contact de l'eau une substance corrosive : l'hydroxyde de césium.|
Cétène|Ketene|2020-07-07|463-51-4||DP.2.1, DS.1i.1cvr|Réglementation|||
Cetrimide|Cetrimide|2015-02-23|8044-71-1||DS.1c.99, DS.1i.99, DS.1o.99, DS.2.2, DS.3.99, DS.4c.99, DS.5.99, DS.7a.99, DS.8.99, DS.9.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Charbon activé|Activated charcoal|2015-12-01|64365-11-3|UN1362|DP.11.2, DP.17.99|Réglementation||Ce produit pourrait contenir plus de 0.1% de silice cristalline. Si tel est le cas, veuillez vous référer à la classification de cette dernière. Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Charbon de bois|Charcoal|2014-11-14|16291-96-6|UN1361|DP.10.1, DP.11.1, DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Chélate d'aluminium d'acétoacétate de dibutoxyde secondaire|Aluminum di-sec-butoxide acetoacetic ester chelate|2014-11-14|24772-51-8||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Chloracétate de sodium|Sodium monochloroacetate|2015-02-23|3926-62-3|UN2659|DS.1c.99, DS.1i.99, DS.1o.3, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Chloral monohydraté|Chloral hydrate|2014-11-14|302-17-0||DS.1c.99, DS.1i.99, DS.1o.4, DS.6.1B, DS.8.99, DS.9.3|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Chloramine-T|Chloramine-T|2016-06-28|127-65-1||DP.17.99, DS.1o.4, DS.2.2, DS.3.2, DS.4c.1A, DS.4r.1|Réglementation|| Matière thermiquement instable susceptible de subir une décomposition fortement exothermique. Des épreuves de laboratoire sur le produit tel qu'emballé sont nécessaires pour préciser la catégorie (type A à G) de cette classe. Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Chloramphénicol|Chloramphenicol|2016-08-11|56-75-7||DS.6.1B|Réglementation|||
Chlorate d'ammonium|Ammonium chlorate|2016-08-05|10192-29-7||DP.20ex.1, DP.14.99|Réglementation|||
Chlorate de baryum|Barium chlorate|2015-10-15|13477-00-4|UN1445|DP.14.99|Réglementation|||
Chlorate de baryum monohydraté|Barium chlorate monohydrate|2015-10-15|10294-38-9|UN1445|DP.14.99|Réglementation|||
Chlorate de potassium|Potassium chlorate|2016-07-04|3811-04-9|UN1485|DP.14.2, DS.1o.4|Réglementation|||
Chlorate de sodium|Sodium chlorate|2016-07-13|7775-09-9|UN1495|DP.14.2, DS.1o.4|Réglementation|||
Chlore|Chlorine|2015-02-25|7782-50-5|UN1017|DP.4.1, DP.5.2, DS.1i.2, DS.2.1, DS.3.1, DS.12co.1|Réglementation|||
Chlorhydrate de N,N,N',N'-tétraméthyl diamino-1,4 benzène|p-Phenylenediamine, N,N,N',N',tetramethyl-, dihydrochloride|2014-11-14|637-01-4||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Chlorite de sodium|Sodium chlorite|2016-06-16|7758-19-2|UN1496|DP.14.2, DP.17.99, DP.20ex.1, DS.1c.2, DS.1i.2, DS.1o.3, DS.3.1, DS.9.3|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Chloro-1 dinitro-2,4 benzène|2,4-Dinitrochlorobenzene|2016-08-15|97-00-7|UN1577|DP.8.99, DP.17.99, DP.20ex.1, DS.1c.2, DS.1o.4, DS.2.2, DS.3.2, DS.4c.1A, DS.8.2|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Chloro-1 naphtalène|1-Chloronaphthalene|2016-08-09|90-13-1||DS.1o.4|Réglementation|||
Chloro-1 nitro-1 propane|1-Chloro-1-nitropropane|2015-12-03|600-25-9||DP.6.4|Réglementation||Des données de toxicité aiguë par ingestion (DL50) et par inhalation (CL50) sont disponibles pour ce produit, mais leur validité n'a pu être vérifiée.|
Chloro-1 octadécane|Octadecyl chloride|2014-11-14|3386-33-2||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Chloro-1 propanone-2|Chloroacetone|2015-09-29|78-95-5|UN1695|DP.6.3, DS.1c.2, DS.1i.1, DS.1o.3, DS.2.1, DS.3.1, DS.12co.1|Réglementation|||
Chloro-2 aniline|o-Chloroaniline|2014-11-14|95-51-2|UN2019|DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Chloro-2 naphtalène|2-Chloronaphthalene|2016-08-09|91-58-7||Produit non contrôlé|Non requise|||
Chloro-2 tétrafluoro-1,1,1,2 éthane|2-Chloro-1,1,1,2-tetrafluoroethane|2014-11-14|2837-89-0|UN1021|DP.5.2, DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Chloro-2 tétrafluoro-1',1',1',2 éthaneazométhane|2-Chloro-1',1',1',2-tetrafluoroethaneazomethane|2014-11-14|675-69-4||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Chloro-3 aniline|m-Chloroaniline|2014-11-14|108-42-9|UN2019|DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Chloro-3 propène|3-Chloropropene|2015-09-16|107-05-1|UN1100|DP.6.2, DS.1i.3, DS.1o.4, DS.2.2, DS.3.2, DS.8.1, DS.9.1|Réglementation|||
Chloro-4 butène-2 ol-1 (trans-)|trans-4-Chloro-2-butene-1-ol|2014-11-14|1576-93-8||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Chloroacétonitrile|Chloroacetonitrile|2014-11-14|107-14-2|UN2668|DP.6.3, DS.1c.99, DS.1i.99, DS.1o.99, DS.3.2, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Chloroacétophénone|Phenacyl chloride|2015-09-24|532-27-4|UN1697|DS.1i.2, DS.1o.3, DS.2.1, DS.3.1, DS.4c.1, DS.12co.1|Réglementation||Au contact de l'eau, libère des gaz mortels en cas d'inhalation. |
Chlorobenzène|Chlorobenzene|2018-07-25|108-90-7|UN1134|DP.6.3, DS.1i.4, DS.1o.4, DS.2.2, DS.6.2, DS.8n.3|Réglementation|||
Chlorobenzylidène malononitrile (ortho-)|o-Chlorobenzylidene malononitrile|2015-09-24|2698-41-1||DP.17.99, DS.1o.4, DS.2.2, DS.3.2, DS.4c.1, DS.8i.3|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Chlorochromate de potassium|Potassium chlorochromate|2014-11-14|16037-50-6||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Chlorodibromométhane|Dibromochloromethane|2016-08-17|124-48-1||DS.1o.4, DS.5.2, DS.9.3|Réglementation|||
Chloroéthane|Ethyl chloride|2015-10-23|75-00-3|UN1037|DP.2.1, DP.5.2|Réglementation|||
Chloroforme|Chloroform|2015-02-26|67-66-3|UN1888|DS.1i.3, DS.1o.4, DS.2.2, DS.3.2, DS.6.2, DS.7.2, DS.9.1|Réglementation|||
Chlorométhane|Methyl chloride|2015-12-08|74-87-3|UN1063|DP.2.1, DP.5.2, DS.1i.4, DS.7.1B, DS.9.3|Réglementation|||
Chloropentafluoroéthane|Chloropentafluoroethane|2016-02-17|76-15-3|UN1020|DP.5.2|Réglementation|||
Chlorophénol (méta-)|Chlorophenol (meta-)|2014-11-14|108-43-0|UN2020|DS.1c.99, DS.1i.99, DS.1o.99, DS.2.1, DS.3.1, DS.8.99, DS.12co.1|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Chlorophénol (ortho-)|Chlorophenol (ortho-)|2014-11-14|95-57-8|UN2021|DP.6.4, DS.1c.99, DS.1i.99, DS.1o.2, DS.2.1, DS.3.1, DS.7.1, DS.8.99, DS.12co.1|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Chlorophénol (para-)|Chlorophenol (para-)|2014-11-14|106-48-9|UN2020|DS.1c.99, DS.1i.99, DS.1o.99, DS.2.1, DS.3.1, DS.8.99, DS.12co.1|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Chloroprène (bêta-)|beta-Chloroprene|2016-03-15|126-99-8|UN1991|DP.6.2, DS.1i.3, DS.1o.3, DS.2.2, DS.3.2, DS.6.2, DS.8n.3|Réglementation||Ce produit est généralement commercialisé avec un inhibiteur. Par conséquent, la classification des risques liés à la santé pourrait être différente, selon l'inhibiteur utilisé et sa concentration. La classification des risques physiques tient compte de son état inhibé. Cependant, sous certaines conditions (par exemple, déplétion ou absence de l’inhibiteur) une polymérisation dangereuse peut se produire.|
Chlorostyrène|Chlorostyrene|2015-10-06|1331-28-8||DP.6.3|Réglementation|||
Chlorostyrène (méta-)|meta-Chlorostyrene|2015-10-06|2039-85-2||DP.6.4|Réglementation|||
Chlorostyrène (ortho-)|ortho-Chlorostyrene|2015-10-06|2039-87-4||DP.6.3|Réglementation|||
Chlorostyrène (para-)|para-Chlorostyrene|2015-10-06|1073-67-2||DP.6.3|Réglementation|||
Chlorotoluène (ortho-)|o-Chlorotoluene|2015-11-19|95-49-8|UN2238|DP.6.3|Réglementation|||
Chlorotoluène (para-)|p-Chlorotoluene|2014-11-14|106-43-4|UN2238|DP.6.3, DS.1c.99, DS.1i.99, DS.1o.99, DS.3.2, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Chlorotrifluoroéthylène|Trifluorochloroethylene|2014-11-14|79-38-9|UN1082|DP.2.1, DP.5.2, DS.1i.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Chlorotrifluorométhane|Chlorotrifluoromethane|2014-11-14|75-72-9|UN1022|DP.5.2, DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Chlorpyrifos|Chlorpyrifos|2016-01-22|2921-88-2||DS.1c.3, DS.1o.3, DS.8.1, DS.9.3|Réglementation|||
Chlorure chromeux|Chromous chloride|2016-08-11|10049-05-5||DS.1o.4, DP.12.99|Réglementation|||
Chlorure chromique|Chromic chloride|2015-12-03|10025-73-7||Produit non contrôlé|Non requise|||
Chlorure cuivreux|Cuprous chloride|2015-12-03|7758-89-6|UN2802|DS.1o.4, DS.3.1|Réglementation|||
Chlorure cuivrique|Cupric chloride|2015-12-11|7447-39-4|UN2802|DS.1o.3, DS.2.1, DS.3.1, DS.12co.1|Réglementation|||
Chlorure cuivrique dihydraté|Cupric chloride dihydrate|2015-12-11|10125-13-0|UN2802|DS.1o.3, DS.2.1, DS.3.1, DS.12co.1|Réglementation|||
Chlorure d'acétylcholine|Acetylcholine chloride|2014-11-14|60-31-1||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Chlorure d'acétyle|Acetyl chloride|2016-01-29|75-36-5|UN1717|DP.6.2, DP.20pex.1, DS.1i.3, DS.2.1, DS.3.1, DS.8i.3|Réglementation||Au contact de l'eau, libère des gaz toxiques en cas d'inhalation. Il n'y a aucune donnée disponible pour le Chlorure d'acétyle concernant son pouvoir d'irritation ou de corrosion. Cependant, il forme au contact de l'eau une substance corrosive: Chlorure d'hydrogène.|
Chlorure d'acétylsulfanilyle|Acetylsulfanilyl chloride|2014-11-14|121-60-8||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Chlorure d'alkyl(C12-C16) diméthylbenzylammonium|Alkyl(C12-C16) dimethylbenzylammonium chloride|2016-09-12|68424-85-1||DS.1o.4, DS.2.1, DS.3.1, DS.12co.1|Réglementation|||
Chlorure d'alkyldiméthyl benzylammonium|Benzylalkonium chloride|2015-08-20|8001-54-5||DS.1o.3, DS.2.1, DS.3.1, DS.12co.1|Réglementation|||
Chlorure d'ammonium|Ammonium chloride|2015-10-27|12125-02-9||DP.17.99, DS.1o.4, DS.3.2|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Chlorure d'argent|Silver chloride|2015-09-08|7783-90-6||Produit non contrôlé|Non requise|||
Chlorure de baryum|Barium chloride|2015-10-15|10361-37-2||DS.1o.3, DS.3.2A|Réglementation|||
Chlorure de baryum dihydraté|Barium chloride dihydrate|2015-10-15|10326-27-9||DS.1o.3, DS.3.2A|Réglementation|||
Chlorure de benzyle|Benzyl chloride|2016-02-23|100-44-7|UN1738|DP.6.4, DS.1i.2, DS.1o.4, DS.2.2, DS.3.2, DS.4c.1, DS.6.2|Réglementation||Ce produit pourrait être corrosif pour les métaux, veuillez contacter le fournisseur pour plus d'information.|
Chlorure de bismuth|Bismuth chloride|2014-11-14|7787-60-2||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Chlorure de brome|Bromine chloride|2016-08-05|13863-41-7|UN2901|DP.4.1, DP.5.2, DS.1i.2, DS.2.1, DS.3.1, DS.8i.3|Réglementation||Au contact de l'eau, libère des gaz toxiques en cas d'inhalation. Il n’y a aucune donnée disponible pour le chlorure de brome concernant son pouvoir d’irritation ou de corrosion. Cependant, il forme au contact de l'eau une substance corrosive: chlorure d'hydrogène.|
Chlorure de cadmium|Cadmium chloride|2015-12-08|10108-64-2|UN2570|DS.1o.3, DS.5.2, DS.6.1A, DS.7.2, DS.9.1|Réglementation||La toxicité des composés de cadmium est liée à la présence de l'ion Cd2+. Ainsi, la classification est basée sur la toxicité de cet ion et tient compte des données disponibles pour tous les composés de cadmium.|
Chlorure de calcium|Calcium chloride|2016-06-28|10043-52-4||DS.3.2A|Réglementation|||
Chlorure de calcium dihydraté|Calcium chloride dihydrate|2015-09-02|10035-04-8||DS.3.2|Réglementation|||
Chlorure de chloracétyle|Chloracetyl chloride|2015-08-20|79-04-9|UN1752|DS.1c.3, DS.1i.3, DS.1o.3, DS.2.1, DS.3.1, DS.12co.1|Réglementation||Au contact de l'eau, libère des gaz toxiques en cas d'inhalation (Chlorure d'hydrogène). |
Chlorure de choline|Choline chloride|2016-07-19|67-48-1||DP.17.99|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Chlorure de choline 60%|Choline chloride 60%|2016-07-19|||Produit non contrôlé|Non requise|||
Chlorure de choline 70%|Choline chloride 70%|2016-07-19|||Produit non contrôlé|Non requise|||
Chlorure de cyanogène|Cyanogen chloride|2016-03-01|506-77-4|UN1589|DP.5.2, DS.1i.1, DS.3.2, DS.8.1, DS.8i.3, DS.9.1|Réglementation||Ce produit est généralement commercialisé avec un inhibiteur. Par conséquent, la classification des risques liés à la santé pourrait être différente, selon l'inhibiteur utilisé et sa concentration. La classification des risques physiques tient compte de son état inhibé. Cependant, sous certaines conditions (par exemple, déplétion ou absence de l’inhibiteur) une polymérisation dangereuse peut se produire.|
Chlorure de dialkyl(C12-C18)diméthylammonium|(C12-C18) Dialkyldimethylammonium chloride|2014-11-14|68391-05-9||DS.1c.99, DS.1i.99, DS.1o.99, DS.2.99, DS.3.99, DS.4c.99, DS.5.99, DS.7a.99, DS.8.99, DS.9.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Chlorure de lanthane heptahydraté|Lanthanum chloride heptahydrate|2014-11-14|10025-84-0||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Chlorure de magnésium|Magnesium chloride|2015-02-25|7786-30-3||Produit non contrôlé|Non requise|||
Chlorure de magnésium hexahydraté|Magnesium chloride hexahydrate|2015-09-01|7791-18-6||Produit non contrôlé|Non requise|||
Chlorure de mercure(I)|Mercury(I) chloride|2015-10-09|10112-91-1||DS.1o.3, DS.9.1|Réglementation||En raison du manque de données, la classification concernant la toxicité pour certains organes cibles - exposition répétée (H372) a été établie par analogie aux composés de mercures inorganiques (Dichlorure de mercure II).|
Chlorure de méthylène|Methylene chloride|2015-02-25|75-09-2|UN1593|DS.1o.4, DS.2.2, DS.3.2A, DS.6.1B, DS.8.1, DS.8n.3|Réglementation|||
Chlorure de méthylmercure|Methylmercury chloride|2015-10-09|115-09-3||DS.1o.2, DS.6.2, DS.7.1A, DS.8.1, DS.9.1|Réglementation|||
Chlorure de N,N-didécyl N,N-diméthyl ammonium|N,N-didecyl-N,N-dimethyl ammonium chloride|2017-04-05|7173-51-5||DS.1o.3, DS.2.1, DS.3.1, DS.12co.1|Réglementation|||
Chlorure de N,N-diméthylcarbamyle|N,N-Dimethylcarbamoyl chloride|2015-12-04|79-44-7|UN2262|DP.6.4, DS.1i.2, DS.1o.4, DS.2.2, DS.3.2, DS.6.1B, DS.8i.3|Réglementation||Au contact de l'eau, libère des gaz mortels en cas d'inhalation. Ce produit pourrait être corrosif pour les métaux, veuillez contacter le fournisseur pour plus d'information.|
Chlorure de N-alkyl(C8-C18) N,N-diméthyldichloro-3,4 benzylammonium|N-Alkyl(C8-C18)-N,N-dimethyl-3,4-dichlorobenzylammonium chloride|2014-11-14|8023-53-8||DS.1c.99, DS.1i.99, DS.1o.4, DS.2.2, DS.3.2, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Chlorure de nickel hexahydraté|Nickel chloride hexahydrate|2015-08-18|7791-20-0||DS.1o.4, DS.4c.1, DS.4r.1, DS.6.1A, DS.7.1B, DS.9.1|Réglementation|||
Chlorure de polyvinyle|Polyvinyl chloride|2015-08-19|9002-86-2||DP.17.99|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Chlorure de potassium|Potassium chloride|2015-02-24|7447-40-7||Produit non contrôlé|Non requise|||
Chlorure de potassium 23,8%|Potassium chloride 23,8%|2014-11-14|||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Chlorure de sodium|Sodium chloride|2015-02-26|7647-14-5||Produit non contrôlé|Non requise|||
Chlorure de soufre|Sulfur chloride|2015-10-06|10025-67-9|UN1828|DS.1i.2, DS.1o.3, DS.2.1, DS.3.1, DS.12co.1|Réglementation||Au contact de l'eau, libère des gaz toxiques en cas d'inhalation: Acide chlorhydrique et dioxyde de soufre. |
Chlorure de soufre|Sulfur chloride|2015-10-06|10025-67-9|UN1828|DS.1i.2, DS.1o.3, DS.2.1, DS.3.1, DS.12co.1|Réglementation||Au contact de l'eau, libère des gaz mortels en cas d'inhalation: Sulfure d'hydrogène. |
Chlorure de strontium|Strontium chloride|2014-11-14|10476-85-4||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Chlorure de strontium dihydraté|Strontium chloride dihydrate|2014-11-14|16056-95-4||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Chlorure de strontium hexahydraté|Strontium chloride hexahydrate|2014-11-14|10025-70-4||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Chlorure de thallium|Thallous chloride|2015-12-15|7791-12-0|UN1707|DS.9.3|Réglementation||En raison du manque de données, la classification concernant la toxicité pour certains organes cibles - exposition répétée (H373) a été établie par analogie aux composés de Thallium solubles (Sulfate de Thallium).|
Chlorure de thionyle|Thionyl chloride|2015-09-10|7719-09-7|UN1836|DS.1i.2, DS.1o.3, DS.2.1, DS.3.1, DS.12co.1|Réglementation||Au contact de l'eau, libère des gaz toxiques en cas d'inhalation: dioxyde de souffre et acide chlorhydrique. |
Chlorure de thiophosphoryle|Thiophosphoryl chloride|2014-11-14|3982-91-0|UN1837|DS.1c.99, DS.1i.99, DS.1o.99, DS.2.1, DS.3.1, DS.7a.99, DS.8.99, DS.12co.1|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Chlorure de vinyle|Vinyl chloride|2016-03-01|75-01-4|UN1086|DP.2.1, DP.5.2, DS.5.2, DS.6.1A|Réglementation||Ce produit est généralement commercialisé avec un inhibiteur. Par conséquent, la classification des risques liés à la santé pourrait être différente, selon l'inhibiteur utilisé et sa concentration. La classification des risques physiques tient compte de son état inhibé. Cependant, sous certaines conditions (par exemple, déplétion ou absence de l’inhibiteur) une polymérisation dangereuse peut se produire.|
Chlorure d'hydrogène|Hydrogen chloride|2016-02-18|7647-01-0|UN1050|DP.5.2, DS.1i.3, DS.2.1, DS.3.1, DS.12co.1|Réglementation||Ce produit pourrait être corrosif pour les métaux, veuillez contacter le fournisseur pour plus d'information.|
Chlorure ferreux|Ferrous chloride|2015-02-25|7758-94-3||DS.1o.4, DS.3.1|Réglementation|||
Chlorure ferreux tétrahydraté|Ferrous chloride tetrahydrate|2015-02-25|13478-10-9||DS.3.1|Réglementation|||
Chlorure ferrique|Ferric chloride|2015-06-15|7705-08-0|UN1773|DS.1i.3, DS.1o.4, DS.2.1, DS.3.1, DS.12co.1|Réglementation||Au contact de l'eau, libère des gaz toxiques en cas d'inhalation: Chlorure d'hydrogène. |
